step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2508688051_5148642229_5148642231_stopped,cluster_2508688051_5148642229_5148642231_accumulated_waiting_time,cluster_2508688051_5148642229_5148642231_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
315.0,1,0.0,0.0,4.810201677534733,0,0.0,1.0,0,0.0
320.0,0,0.0,0.0,10.127203209446428,0,0.0,1.0,0,0.0
325.0,0,0.0,0.0,10.393190641910504,0,0.0,0.9445813778978741,0,0.0
330.0,0,0.0,0.0,9.997602059137554,0,0.0,0.6499062344914854,0,0.0
335.0,2,4.0,0.5,7.3889220307590335,2,4.0,0.0024763178043879825,2,4.0
340.0,2,14.0,1.75,7.65924235994406,2,14.0,4.168863857725288e-06,2,14.0
345.0,2,24.0,3.4285714285714284,7.591255292491981,2,24.0,0.4213156385980307,2,24.0
350.0,3,37.0,6.166666666666667,4.016428121173197,3,37.0,0.15710997616048641,3,37.0
355.0,0,0.0,0.0,5.049325447290634,0,22.0,0.13095411992727288,0,22.0
360.0,0,0.0,0.0,10.889796071496349,0,0.0,1.0,0,0.0
365.0,0,0.0,0.0,9.643302814806967,0,0.0,1.0,0,0.0
370.0,0,0.0,0.0,10.151238194506195,0,0.0,1.0,0,0.0
375.0,0,0.0,0.0,10.464480828791867,0,0.0,1.0,0,0.0
380.0,0,0.0,0.0,6.4904620410125355,0,0.0,1.0,0,0.0
385.0,1,1.0,0.08333333333333333,9.088490928679773,1,1.0,0.008047293049247653,1,1.0
390.0,1,6.0,0.5,9.166498580706174,1,6.0,0.49519913828878387,1,6.0
395.0,1,11.0,0.9166666666666666,8.520126939959347,1,15.0,0.5240513586193547,1,15.0
400.0,2,18.0,1.5,7.6266274311802436,2,22.0,0.21545098609175534,2,22.0
405.0,4,33.0,2.75,6.2009224658704065,4,37.0,0.16381023596372363,4,37.0
410.0,4,53.0,5.3,5.361261568767382,4,57.0,0.0596041472466034,4,57.0
415.0,1,4.0,0.4,4.443436131104676,1,30.0,0.15245096477125591,1,30.0
420.0,2,8.0,0.8,7.150807897095606,1,7.0,0.49250930371757545,1,7.0
425.0,2,18.0,1.8,7.725318636630812,1,8.0,0.4863873564786366,1,8.0
430.0,0,0.0,0.0,7.733932711636833,0,12.0,0.0866343894927197,0,12.0
435.0,0,0.0,0.0,8.252893557848799,0,0.0,1.0,0,0.0
440.0,1,2.0,0.14285714285714285,6.5601005964042125,0,0.0,1.0,0,0.0
445.0,0,0.0,0.0,9.328016410513845,0,0.0,1.0,0,0.0
450.0,0,0.0,0.0,9.038781846361877,0,0.0,0.9737834785153492,0,0.0
455.0,0,0.0,0.0,10.026908146916055,0,3.0,0.9519993575930348,0,3.0
