step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2508688051_5148642229_5148642231_stopped,cluster_2508688051_5148642229_5148642231_accumulated_waiting_time,cluster_2508688051_5148642229_5148642231_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.2490746930008765,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.028595514937543,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.955031404275596,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,12.649821401822619,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,12.649821401822619,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,10.404528324693434,0,0.0,0.7864764608522143,0,0.0
35.0,0,0.0,0.0,12.370772288732468,0,0.0,0.9351044952763518,0,0.0
40.0,0,0.0,0.0,12.649821401822619,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
55.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,2.0338488632580267,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,10.110723909190384,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,10.120478713712181,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,9.92995643704283,0,0.0,0.918042951526045,0,0.0
85.0,0,0.0,0.0,10.196807847534766,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,8.614321425549292,0,0.0,1.0,0,0.0
95.0,0,0.0,0.0,9.523886309508551,0,0.0,1.0,0,0.0
100.0,0,0.0,0.0,9.930890943496015,0,0.0,0.8894023022559766,0,0.0
105.0,0,0.0,0.0,7.428337928047732,0,0.0,0.8933288497640262,0,0.0
110.0,0,0.0,0.0,9.53619140182262,0,0.0,1.0,0,0.0
115.0,0,0.0,0.0,9.914965514937544,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
125.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
130.0,0,0.0,0.0,5.774812348728797,0,0.0,1.0,0,0.0
135.0,0,0.0,0.0,10.249858623083222,0,0.0,1.0,0,0.0
140.0,0,0.0,0.0,10.368354401062097,0,0.0,0.8995322343920907,0,0.0
145.0,0,0.0,0.0,10.943645273994818,0,3.0,0.9366341014952003,0,3.0
150.0,0,0.0,0.0,10.871982768302017,0,0.0,1.0,0,0.0
155.0,0,0.0,0.0,9.784970466425644,0,0.0,1.0,0,0.0
160.0,0,0.0,0.0,10.684658919771366,0,0.0,0.9345530098155613,0,0.0
165.0,0,0.0,0.0,6.780491381437593,0,0.0,1.0,0,0.0
170.0,0,0.0,0.0,10.39080431841353,0,0.0,1.0,0,0.0
175.0,0,0.0,0.0,9.888095514756069,0,0.0,1.0,0,0.0
180.0,0,0.0,0.0,8.99485241350581,0,0.0,1.0,0,0.0
185.0,0,0.0,0.0,9.717328508757427,0,0.0,1.0,0,0.0
190.0,1,1.0,0.16666666666666666,2.857021925629489,0,0.0,1.0,0,0.0
