step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_2508688051_5148642229_5148642231_stopped,cluster_2508688051_5148642229_5148642231_accumulated_waiting_time,cluster_2508688051_5148642229_5148642231_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.127992000896692,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.321823786473846,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.233505453164703,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.159239784367395,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,10.159239784367395,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,9.70350981854835,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,9.70030400089669,0,0.0,0.9242095684225867,0,0.0
40.0,0,0.0,0.0,9.321823786473846,0,0.0,0.8881493546812556,0,0.0
45.0,0,0.0,0.0,9.239344216529293,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,10.159239784367395,0,0.0,1.0,0,0.0
55.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,1.7568748568417503,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,9.311572218750142,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,9.929042176232677,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,8.757498531756118,0,0.0,0.9348363058586879,0,0.0
85.0,0,0.0,0.0,9.736456779002822,0,0.0,0.9545228168994301,0,0.0
90.0,1,2.0,1.0,5.090793421195388,1,2.0,0.0016302842700329826,1,2.0
95.0,1,7.0,3.5,4.600632566322259,1,7.0,0.4025685739308513,1,7.0
100.0,0,0.0,0.0,8.381796650958481,0,0.0,0.9333668112233878,0,0.0
105.0,0,0.0,0.0,8.780011404861213,0,0.0,1.0,0,0.0
110.0,0,0.0,0.0,6.571592610740263,0,0.0,1.0,0,0.0
115.0,0,0.0,0.0,9.181635497154208,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,8.437485786473848,0,0.0,1.0,0,0.0
125.0,0,0.0,0.0,5.148341784367398,0,0.0,1.0,0,0.0
130.0,0,0.0,0.0,5.783024336703902,0,0.0,1.0,0,0.0
135.0,0,0.0,0.0,9.98372193575362,0,0.0,1.0,0,0.0
140.0,0,0.0,0.0,10.066597257869539,0,0.0,0.9889805699057679,0,0.0
145.0,0,0.0,0.0,6.599722397663636,0,3.0,0.6687990560254806,0,3.0
150.0,1,3.0,1.0,2.873101839457476,1,6.0,0.00694617509124899,1,6.0
155.0,2,13.0,4.333333333333333,3.060400908102737,2,16.0,3.896285781065335e-05,2,16.0
160.0,0,0.0,0.0,4.871311605600346,0,11.0,0.21610976483609248,0,11.0
165.0,0,0.0,0.0,9.402638561244343,0,0.0,0.9182921268437038,0,0.0
170.0,0,0.0,0.0,6.973403808976795,0,0.0,0.9532436451324936,0,0.0
175.0,0,0.0,0.0,9.89458217527398,0,0.0,1.0,0,0.0
180.0,0,0.0,0.0,8.226498216099163,0,0.0,1.0,0,0.0
185.0,0,0.0,0.0,9.599087786473847,0,0.0,1.0,0,0.0
190.0,1,1.0,0.16666666666666666,2.7106688825350798,0,0.0,1.0,0,0.0
195.0,1,1.0,0.14285714285714285,7.692281328101558,0,0.0,1.0,0,0.0
200.0,0,0.0,0.0,9.090191152658972,0,0.0,1.0,0,0.0
205.0,0,0.0,0.0,8.679477406685498,0,3.0,0.9033065212490001,0,3.0
210.0,0,0.0,0.0,8.98157884396456,0,4.0,0.6204606615809011,0,4.0
215.0,2,6.0,0.8571428571428571,5.582810415951937,2,10.0,0.007784047441496064,2,10.0
220.0,0,0.0,0.0,6.834146703125815,0,12.0,0.4232816340368848,0,12.0
225.0,0,0.0,0.0,10.021939310053197,0,0.0,0.9495480831753897,0,0.0
230.0,0,0.0,0.0,8.284148000834998,0,0.0,1.0,0,0.0
235.0,0,0.0,0.0,9.96339577321858,0,0.0,0.8167611127526044,0,0.0
240.0,0,0.0,0.0,7.184127595022483,0,0.0,1.0,0,0.0
245.0,0,0.0,0.0,9.650904189115588,0,0.0,1.0,0,0.0
250.0,0,0.0,0.0,9.800459693193563,0,0.0,1.0,0,0.0
255.0,0,0.0,0.0,6.776433348779836,0,0.0,1.0,0,0.0
260.0,0,0.0,0.0,9.900313001684971,0,0.0,1.0,0,0.0
265.0,0,0.0,0.0,9.399334627890603,0,0.0,0.8941853886650665,0,0.0
270.0,0,0.0,0.0,8.776753233736017,0,3.0,0.8903568956350232,0,3.0
275.0,0,0.0,0.0,7.804171681548393,0,3.0,0.09355704835062453,0,3.0
280.0,1,4.0,0.4444444444444444,6.902332248223997,1,7.0,0.3727471623163248,1,7.0
285.0,1,9.0,1.125,6.333412131066828,1,12.0,0.31996233855735473,1,12.0
290.0,2,18.0,2.5714285714285716,6.390412647679793,2,21.0,0.17370713997141526,2,21.0
295.0,3,31.0,4.428571428571429,4.879466036315372,3,34.0,6.143307016072766e-05,3,34.0
300.0,3,46.0,9.2,1.3968260551625808,3,49.0,0.0,3,49.0
305.0,0,0.0,0.0,5.735434032320653,0,17.0,0.20149355407952252,0,17.0
310.0,0,0.0,0.0,9.924718062293666,0,0.0,1.0,0,0.0
315.0,1,2.0,0.2222222222222222,4.83359195149991,0,0.0,1.0,0,0.0
320.0,0,0.0,0.0,9.31496800071171,0,0.0,1.0,0,0.0
325.0,0,0.0,0.0,9.798656463072863,0,0.0,0.9258035568274435,0,0.0
330.0,0,0.0,0.0,9.820336604427762,0,3.0,0.9258140431982534,0,3.0
335.0,0,0.0,0.0,9.60690582271993,0,3.0,0.9268759397509339,0,3.0
340.0,1,2.0,0.25,8.205666081124898,1,5.0,0.0004768451661815185,1,5.0
345.0,1,7.0,0.875,9.276253715446362,1,10.0,0.47233254708830663,1,10.0
350.0,1,12.0,1.5,6.8869201580609705,1,15.0,0.1693058700906788,1,15.0
355.0,2,20.0,2.857142857142857,6.258047024100969,2,23.0,0.027304286020423518,2,23.0
360.0,3,35.0,5.0,4.44801079040658,3,38.0,2.9072688671105797e-05,3,38.0
365.0,0,0.0,0.0,7.62180616659104,0,11.0,0.24136402790001835,0,11.0
370.0,0,0.0,0.0,10.1196806480308,0,0.0,1.0,0,0.0
375.0,0,0.0,0.0,9.734173029442296,0,0.0,0.9419556763863121,0,0.0
380.0,0,0.0,0.0,7.092085865721798,0,0.0,1.0,0,0.0
385.0,0,0.0,0.0,9.362782400929994,0,0.0,1.0,0,0.0
390.0,0,0.0,0.0,9.365310474003964,0,0.0,0.954180978106681,0,0.0
395.0,0,0.0,0.0,9.573103296343001,0,4.0,0.8521926769390348,0,4.0
400.0,1,2.0,0.2,7.362458371773376,1,6.0,0.2156882765934467,1,6.0
405.0,3,14.0,1.4,6.215773396562403,3,18.0,0.0003072056777004238,3,18.0
410.0,3,29.0,2.9,6.65714942023217,3,33.0,0.24186393874845188,3,33.0
415.0,5,47.0,4.7,4.5079372255493135,4,49.0,0.00015220895420372312,4,49.0
420.0,4,65.0,6.5,4.178184793357643,4,69.0,0.11059171891085447,4,69.0
425.0,1,11.0,1.2222222222222223,6.313257537931548,1,59.0,0.2457359570607882,1,59.0
430.0,0,0.0,0.0,7.792259462770484,0,11.0,0.3801689762315222,0,11.0
435.0,0,0.0,0.0,6.762771810023267,0,0.0,1.0,0,0.0
440.0,4,9.0,0.6,3.9880536011740277,0,0.0,1.0,0,0.0
445.0,0,0.0,0.0,7.730561990826203,0,0.0,1.0,0,0.0
450.0,0,0.0,0.0,8.75345342896227,0,0.0,0.979351469769273,0,0.0
455.0,0,0.0,0.0,9.061165004092391,0,3.0,0.8235400221223048,0,3.0
460.0,1,2.0,0.15384615384615385,7.28489753229526,1,5.0,0.013317877991635363,1,5.0
465.0,2,11.0,0.8461538461538461,7.118679063907626,2,14.0,0.0,2,14.0
470.0,2,21.0,1.6153846153846154,7.611334727951066,2,24.0,0.0,2,24.0
475.0,3,32.0,2.6666666666666665,6.62765783166519,2,34.0,0.2991317288096419,2,34.0
480.0,3,45.0,3.75,5.280022386482784,3,48.0,0.04193279203241696,3,48.0
485.0,0,0.0,0.0,7.408821628459828,0,28.0,0.1643408051005752,0,28.0
490.0,0,0.0,0.0,10.08781287091775,0,0.0,1.0,0,0.0
495.0,0,0.0,0.0,9.129496264386754,0,0.0,1.0,0,0.0
500.0,6,0.0,0.0,5.849564313147076,0,0.0,1.0,0,0.0
505.0,0,0.0,0.0,8.699352106938257,0,0.0,1.0,0,0.0
510.0,0,0.0,0.0,8.485103000969165,0,0.0,1.0,0,0.0
515.0,0,0.0,0.0,9.291411751916314,0,0.0,0.9216580161954819,0,0.0
520.0,0,0.0,0.0,9.267266102398263,0,0.0,0.4617155447603581,0,0.0
525.0,2,5.0,0.45454545454545453,6.727336606323077,2,5.0,0.0024260735494917975,2,5.0
530.0,2,15.0,1.3636363636363635,7.947689087121845,2,15.0,0.0,2,15.0
535.0,2,25.0,2.5,7.461650174393341,2,25.0,0.30999363505904365,2,25.0
540.0,3,37.0,4.111111111111111,4.342449385375814,3,37.0,0.006543921948957416,3,37.0
545.0,0,0.0,0.0,6.403384009267858,0,26.0,0.22123400340757984,0,26.0
550.0,0,0.0,0.0,9.442155495297143,0,0.0,1.0,0,0.0
555.0,0,0.0,0.0,8.893451407350637,0,0.0,1.0,0,0.0
560.0,2,5.0,0.625,6.4570804531209,0,0.0,1.0,0,0.0
565.0,2,1.0,0.058823529411764705,4.921516496941726,0,0.0,1.0,0,0.0
570.0,0,0.0,0.0,8.896435177767325,0,0.0,1.0,0,0.0
575.0,0,0.0,0.0,8.817831714521855,0,0.0,0.9360197007030922,0,0.0
580.0,0,0.0,0.0,9.029284069638635,0,5.0,0.7309785787234122,0,5.0
585.0,1,3.0,0.1875,8.27519504136533,1,12.0,0.5031548526972749,1,12.0
590.0,2,10.0,0.625,6.631194310531525,2,19.0,0.008569834621927494,2,19.0
595.0,4,29.0,2.0714285714285716,6.546147700476523,4,38.0,0.0002664032691789357,4,38.0
600.0,4,49.0,3.5,5.670749337481937,4,58.0,0.1387291029483508,4,58.0
