step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.342891656444409,0,0.0,0.2523725910697498,0,0.0
10.0,1,0.0,0.0,5.998684848774511,0,0.0,0.6843868446158118,0,0.0
15.0,1,0.0,0.0,6.732178544507057,0,0.0,0.6816320596237185,0,0.0
20.0,1,0.0,0.0,6.79651398953439,0,0.0,0.31819349326900237,0,0.0
25.0,3,7.0,0.2916666666666667,7.158767179095787,2,7.0,0.31403363742143164,2,7.0
30.0,4,20.0,0.7142857142857143,7.473024444913652,4,20.0,0.4022205643109621,4,20.0
35.0,8,43.0,1.2647058823529411,5.544397747386026,5,42.0,0.24059149451226058,5,42.0
40.0,9,79.0,2.0789473684210527,5.36954389743197,7,71.0,0.11735817776404263,7,71.0
45.0,12,133.0,3.1666666666666665,5.749521692389083,7,106.0,0.25388716132654554,7,106.0
50.0,16,194.0,4.127659574468085,5.058298545218882,9,143.0,0.14167089296498536,9,143.0
55.0,20,277.0,5.54,4.959755479776257,11,195.0,0.1398653751637511,11,195.0
60.0,21,368.0,7.076923076923077,4.792506858513709,13,251.0,0.02009084956263974,13,251.0
65.0,20,398.0,7.107142857142857,5.1536961201577185,14,317.0,0.15855542434983977,14,317.0
70.0,11,91.0,1.4918032786885247,4.6895809526429435,4,216.0,0.17057555372402144,4,216.0
75.0,13,94.0,1.4461538461538461,5.786217993928149,2,104.0,0.3028164494145581,2,104.0
80.0,19,173.0,2.4714285714285715,5.7693505948993575,7,83.0,0.09566753291548889,7,83.0
85.0,24,282.0,4.147058823529412,5.807447310788528,11,132.0,0.12597990621885413,11,132.0
90.0,29,404.0,5.771428571428571,4.631732116378335,12,191.0,0.1848948992265278,12,191.0
95.0,30,542.0,7.527777777777778,4.157192299820281,13,253.0,0.24864778787714967,13,253.0
100.0,34,696.0,9.28,4.216638665092148,13,315.0,0.12528631070227872,13,315.0
