step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.799472791524604,0,0.0,0.4012142184951499,0,0.0
10.0,1,0.0,0.0,6.603048422203929,0,0.0,0.39761268726519067,0,0.0
15.0,1,0.0,0.0,7.610912394880719,0,0.0,0.9275424115714699,0,0.0
20.0,2,1.0,0.05263157894736842,6.843022695231954,1,1.0,0.1710490381094366,1,1.0
25.0,3,11.0,0.4583333333333333,7.211421173920994,2,11.0,0.5021959271145197,2,11.0
30.0,4,25.0,0.8928571428571429,7.202484147550577,4,25.0,0.2484681075574169,4,25.0
35.0,7,43.0,1.303030303030303,6.077384210768534,6,47.0,0.19236241498525897,6,47.0
40.0,8,79.0,2.1944444444444446,5.9790674875113785,7,81.0,0.19632042381716763,7,81.0
45.0,10,121.0,2.951219512195122,5.707990844097718,7,119.0,0.16613941926619205,7,119.0
50.0,15,182.0,4.136363636363637,4.9522760523838025,8,158.0,0.14602355916749782,8,158.0
55.0,17,264.0,5.5,4.689787655373808,12,215.0,0.07280098216424337,12,215.0
60.0,7,90.0,1.7307692307692308,5.669040190193643,3,137.0,0.26602743792312483,3,137.0
65.0,12,107.0,1.9454545454545455,5.867853036983371,5,54.0,0.2428120292462575,5,54.0
70.0,18,173.0,2.7903225806451615,5.4006354326523285,8,77.0,0.15152466381442406,8,77.0
75.0,18,245.0,3.888888888888889,5.362247143395878,10,108.0,0.06976862880478284,10,108.0
80.0,18,275.0,4.365079365079365,4.652299801405772,9,134.0,0.18426905960702172,9,134.0
85.0,15,318.0,5.0476190476190474,5.03924287514518,6,152.0,0.2681177362064012,6,152.0
90.0,20,320.0,4.705882352941177,5.124121432821396,10,192.0,0.09701900354186345,10,192.0
95.0,24,429.0,6.402985074626866,4.997192378816393,15,273.0,0.15418655157355263,15,273.0
100.0,28,555.0,7.708333333333333,4.975345292991957,16,379.0,0.10941974893455757,16,379.0
105.0,30,694.0,9.253333333333334,4.6465284071108846,16,438.0,0.0536130347977432,16,438.0
110.0,36,718.0,8.975,3.5456687806339153,17,499.0,0.06456739356625019,17,499.0
