step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.164752515531144,0,0.0,0.325516430599324,0,0.0
10.0,1,0.0,0.0,6.306287422593892,0,0.0,0.4518097927627319,0,0.0
15.0,2,3.0,0.21428571428571427,6.477262256725076,1,3.0,0.4671384516685826,1,3.0
20.0,2,8.0,0.42105263157894735,7.0433748032678,1,8.0,0.3980633794106741,1,8.0
25.0,2,0.0,0.0,7.715931618717046,0,0.0,0.6357521151028511,0,0.0
30.0,2,7.0,0.25,7.700907066169068,2,7.0,0.40300165143730715,2,7.0
35.0,6,27.0,0.84375,6.108535766119253,4,25.0,0.18783982051478068,4,25.0
40.0,8,62.0,1.7222222222222223,6.065655888539231,6,55.0,0.18556598414978137,6,55.0
45.0,11,104.0,2.5365853658536586,5.6464928735664595,6,85.0,0.22430691262428726,6,85.0
50.0,15,163.0,3.5434782608695654,5.401206186636785,9,124.0,0.13194146555958228,9,124.0
55.0,16,241.0,4.918367346938775,5.249775437568374,11,177.0,0.11144686190541436,11,177.0
60.0,17,314.0,6.1568627450980395,5.7563187035801,13,235.0,0.1778377931530021,13,235.0
65.0,20,400.0,7.2727272727272725,4.865116562475924,14,299.0,0.1280062397401747,14,299.0
70.0,24,471.0,7.721311475409836,4.1285315018343205,18,384.0,0.0334781293709848,18,384.0
75.0,24,489.0,7.761904761904762,4.289406634795784,19,477.0,0.05588419525193117,19,477.0
80.0,17,163.0,2.3970588235294117,4.764877088565806,8,362.0,0.07931229945170963,8,362.0
85.0,14,87.0,1.2608695652173914,5.47029149142252,3,171.0,0.21293269315046948,3,171.0
90.0,23,178.0,2.4383561643835616,5.27902329474475,7,186.0,0.24345229809340152,7,186.0
95.0,23,280.0,3.7837837837837838,4.470543969127731,7,178.0,0.15076923051645225,7,178.0
100.0,28,402.0,5.220779220779221,4.669066316734673,9,212.0,0.09831684461980005,9,212.0
105.0,25,419.0,5.5131578947368425,4.503339424290333,13,267.0,0.13567824262012293,13,267.0
110.0,27,496.0,6.2784810126582276,4.3420630703593455,14,337.0,0.08338896227196664,14,337.0
115.0,34,651.0,7.939024390243903,4.105104409752767,14,408.0,0.19973933343771078,14,408.0
