step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.351710947691463,0,0.0,0.23940919624088147,0,0.0
10.0,1,0.0,0.0,5.881923399532987,0,0.0,0.6165808954441788,0,0.0
15.0,1,0.0,0.0,6.059247161318391,0,0.0,0.6635032420332045,0,0.0
20.0,1,0.0,0.0,6.550843923243704,0,0.0,0.3274925944614635,0,0.0
25.0,3,4.0,0.16666666666666666,6.770299289024469,2,4.0,0.28171327880114916,2,4.0
30.0,2,14.0,0.5,7.443932853657772,2,14.0,0.4349175134346282,2,14.0
35.0,5,33.0,1.0,6.08076363758965,4,33.0,0.20296606713273657,4,33.0
40.0,10,68.0,1.7894736842105263,5.652047419869577,7,59.0,0.12274489644984293,7,59.0
45.0,12,120.0,2.857142857142857,5.273727403226024,7,94.0,0.12656112324531466,7,94.0
50.0,15,179.0,3.891304347826087,5.138219228784089,8,136.0,0.18545949960332925,8,136.0
55.0,16,247.0,5.040816326530612,4.956351109977751,12,189.0,0.08749909869885873,12,189.0
60.0,21,337.0,6.2407407407407405,5.223447140640177,14,252.0,0.08659481769704645,14,252.0
65.0,22,429.0,7.526315789473684,4.557433223378777,14,323.0,0.10592083447170261,14,323.0
70.0,11,74.0,1.1935483870967742,4.602815011600655,6,234.0,0.16514061937380164,6,234.0
75.0,13,50.0,0.7575757575757576,6.109771987384963,4,103.0,0.27514617562919674,4,103.0
80.0,20,132.0,1.9411764705882353,5.5126323724338,8,77.0,0.11461403179788521,8,77.0
85.0,24,245.0,3.656716417910448,5.359264076802638,9,119.0,0.09499452851483431,9,119.0
90.0,25,355.0,5.144927536231884,4.9273955872856146,9,164.0,0.15809937171905453,9,164.0
95.0,28,485.0,6.928571428571429,4.675555999675627,11,213.0,0.11948604114177325,11,213.0
100.0,28,526.0,7.013333333333334,4.142589915667232,8,220.0,0.266990814855264,8,220.0
105.0,33,568.0,7.376623376623376,3.71588685039147,8,278.0,0.08194488722802915,8,278.0
