step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.904334331820719,0,0.0,0.37680232157604837,0,0.0
10.0,1,0.0,0.0,6.5828875541676455,0,0.0,0.3786167892129295,0,0.0
15.0,1,0.0,0.0,6.810918877848869,0,0.0,0.675006220634571,0,0.0
20.0,2,1.0,0.05263157894736842,6.790825930487981,1,1.0,0.35686553482262084,1,1.0
25.0,3,7.0,0.2916666666666667,7.12646807114029,2,7.0,0.4458246139286845,2,7.0
30.0,3,18.0,0.6428571428571429,7.388559731098566,3,18.0,0.38654430074366675,3,18.0
35.0,5,37.0,1.15625,6.250488375346545,4,37.0,0.21785431282011844,4,37.0
40.0,9,69.0,1.864864864864865,6.019487899628651,7,68.0,0.20902079172988616,7,68.0
45.0,11,111.0,2.707317073170732,5.828101602643114,8,104.0,0.11918241351070086,8,104.0
50.0,16,171.0,3.717391304347826,5.459586180142705,10,150.0,0.13914742629192928,10,150.0
55.0,17,248.0,5.166666666666667,5.135912721097,12,207.0,0.143721364741855,12,207.0
60.0,9,84.0,1.6470588235294117,5.880113377582053,4,122.0,0.16758260317027845,4,122.0
65.0,10,109.0,1.981818181818182,6.560068974579355,3,40.0,0.3355145951595355,3,40.0
70.0,16,167.0,2.830508474576271,5.775100622123412,6,50.0,0.2608593594136137,6,50.0
75.0,20,252.0,4.064516129032258,5.31633027176097,9,88.0,0.10832904883247074,9,88.0
80.0,23,313.0,4.890625,4.95483917046891,11,142.0,0.19599944931292623,11,142.0
85.0,24,418.0,6.333333333333333,5.244308241329421,13,226.0,0.16418465801251778,13,226.0
90.0,22,451.0,6.731343283582089,4.836502572384095,15,273.0,0.09502134801200635,15,273.0
95.0,21,457.0,6.6231884057971016,5.049790617961054,16,363.0,0.1499019491378002,16,363.0
100.0,27,503.0,6.890410958904109,4.972745238057835,16,478.0,0.10271562616588407,16,478.0
105.0,29,606.0,8.18918918918919,4.33109818777539,16,530.0,0.10985084778709545,16,530.0
110.0,35,762.0,9.645569620253164,3.7031465394409713,17,610.0,0.08067174156148978,17,610.0
