step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.555815610536374,0,0.0,0.2893605029731828,0,0.0
10.0,1,0.0,0.0,6.363457118545529,0,0.0,0.30665078361249304,0,0.0
15.0,1,0.0,0.0,7.268192228283048,0,0.0,0.8643062152505308,0,0.0
20.0,1,0.0,0.0,7.171192016030493,0,0.0,0.2803430672705559,0,0.0
25.0,3,9.0,0.375,6.995968771720456,2,9.0,0.43113260746358384,2,9.0
30.0,3,22.0,0.7857142857142857,6.761154997845181,3,22.0,0.1557242420230174,3,22.0
35.0,6,47.0,1.4242424242424243,6.178870189117727,5,47.0,0.18524401359139964,5,47.0
40.0,10,91.0,2.3947368421052633,5.841958713403392,7,82.0,0.11485928125640629,7,82.0
45.0,13,147.0,3.5853658536585367,5.678334411795794,7,117.0,0.1909863746739363,7,117.0
50.0,16,201.0,4.369565217391305,5.167738139337373,9,156.0,0.11689326671455087,9,156.0
55.0,17,279.0,5.6938775510204085,4.848898906977787,11,218.0,0.14740692011389336,11,218.0
60.0,11,118.0,2.269230769230769,5.489705121051779,5,137.0,0.15382153737434676,5,137.0
65.0,8,64.0,1.1636363636363636,6.771941388787695,3,49.0,0.3893512029122049,3,49.0
70.0,15,90.0,1.4754098360655739,5.6857168638193345,6,61.0,0.2111506259146055,6,61.0
75.0,17,161.0,2.515625,5.6584201491218185,9,88.0,0.1892650607379598,9,88.0
80.0,23,241.0,3.8253968253968256,3.9906078050070914,10,137.0,0.13494985139368376,10,137.0
85.0,24,271.0,4.1692307692307695,4.911893629668245,8,156.0,0.2305214834016801,8,156.0
90.0,18,273.0,3.9,5.028899655269017,8,176.0,0.2369878368357521,8,176.0
95.0,23,375.0,5.208333333333333,4.294522664177092,13,240.0,0.13386076011445622,13,240.0
100.0,30,511.0,6.905405405405405,3.8306021162389885,16,370.0,0.10159791369445391,16,370.0
105.0,29,525.0,6.907894736842105,4.615454697940656,17,417.0,0.12012232313105457,17,417.0
110.0,33,650.0,8.125,4.238042214455467,18,482.0,0.0686192374105156,18,482.0
