step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.9192761470004918,0,0.0,0.3269060346602594,0,0.0
10.0,1,0.0,0.0,6.390022751412361,0,0.0,0.5785391584074411,0,0.0
15.0,1,0.0,0.0,7.135084187723669,0,0.0,0.8462340776605063,0,0.0
20.0,1,0.0,0.0,6.993610842997142,0,0.0,0.308821690880612,0,0.0
25.0,1,0.0,0.0,7.476173241685486,0,0.0,0.6644818812653175,0,0.0
30.0,0,0.0,0.0,8.691842926424256,0,0.0,0.6925635899719357,0,0.0
35.0,3,3.0,0.09090909090909091,7.708310585605374,1,2.0,0.28082994789947663,1,2.0
40.0,4,14.0,0.3684210526315789,6.932250354529696,3,14.0,0.3020277718283142,3,14.0
45.0,7,39.0,0.9512195121951219,6.953383185460476,4,31.0,0.3413991516860157,4,31.0
50.0,9,74.0,1.7209302325581395,6.3265914949142035,4,51.0,0.2954039450707002,4,51.0
55.0,12,127.0,2.760869565217391,6.09598484188091,5,73.0,0.314607289192179,5,73.0
60.0,13,165.0,3.36734693877551,6.13776546479445,8,100.0,0.16143470025262202,8,100.0
65.0,16,222.0,4.352941176470588,5.245474994908948,8,136.0,0.17158670859062197,8,136.0
70.0,15,269.0,4.981481481481482,4.746433064234032,10,183.0,0.07856326269941684,10,183.0
75.0,16,343.0,5.813559322033898,5.433370579163856,11,238.0,0.07532120563628338,11,238.0
80.0,11,194.0,3.180327868852459,6.23922511951448,5,220.0,0.2872527635216905,5,220.0
85.0,9,152.0,2.5762711864406778,6.1671522518145245,3,105.0,0.3039573719817758,3,105.0
90.0,10,44.0,0.6666666666666666,6.0342205176883015,5,87.0,0.23264554264225712,5,87.0
95.0,14,106.0,1.5820895522388059,5.255701905985755,7,98.0,0.22523442020789725,7,98.0
100.0,22,203.0,2.859154929577465,4.78234036019456,11,182.0,0.13476004294469868,11,182.0
105.0,28,323.0,4.25,4.795120249963018,16,243.0,0.10396339300684077,16,243.0
110.0,31,463.0,5.7875,4.553216085638555,17,322.0,0.12395996131271754,17,322.0
