step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.66187380743213,0,0.0,0.362218162402708,0,0.0
10.0,1,0.0,0.0,6.147941481166808,0,0.0,0.44315044885586,0,0.0
15.0,1,0.0,0.0,7.239764034225272,0,0.0,0.7781006746147925,0,0.0
20.0,1,0.0,0.0,7.064833859151463,0,0.0,0.297730990568252,0,0.0
25.0,1,0.0,0.0,7.654555340011851,0,0.0,0.8108598676205094,0,0.0
30.0,0,0.0,0.0,8.786667435908685,0,0.0,0.624019784691557,0,0.0
35.0,4,6.0,0.18181818181818182,7.687842170545801,1,2.0,0.31939316947644825,1,2.0
40.0,6,21.0,0.5526315789473685,6.621279360327976,3,13.0,0.2618770943660898,3,13.0
45.0,6,31.0,0.775,6.865616708883307,4,30.0,0.3542788506266946,4,30.0
50.0,10,57.0,1.3255813953488371,6.563378453569,4,50.0,0.22511541527735549,4,50.0
55.0,13,110.0,2.391304347826087,6.1760214830999836,5,73.0,0.3499857219192641,5,73.0
60.0,14,159.0,3.1176470588235294,6.0451876378890175,8,103.0,0.1835785915564038,8,103.0
65.0,16,227.0,4.54,4.993622312219836,9,144.0,0.19759618918629246,9,144.0
70.0,23,321.0,5.944444444444445,4.674469841671934,13,203.0,0.10193449422266625,13,203.0
75.0,16,177.0,3.0517241379310347,4.819004639927449,8,191.0,0.14163228189269783,8,191.0
80.0,13,163.0,2.629032258064516,5.568247125291832,5,147.0,0.16467744291580014,5,147.0
85.0,15,228.0,3.8,5.154064115012926,8,131.0,0.1634171191417576,8,131.0
90.0,18,235.0,3.5606060606060606,5.141148029211217,9,156.0,0.22957013414469868,9,156.0
95.0,19,223.0,3.328358208955224,4.577583747707801,9,191.0,0.19338042272660538,9,191.0
100.0,20,244.0,3.388888888888889,5.302138407597615,13,289.0,0.16998673005876763,13,289.0
105.0,25,355.0,4.733333333333333,5.0494416895580905,15,381.0,0.12869688918243413,15,381.0
110.0,33,502.0,6.197530864197531,4.338836983399509,18,462.0,0.0828937633954924,18,462.0
