step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.080104799671099,0,0.0,0.2914574162339708,0,0.0
10.0,1,0.0,0.0,6.3762316811670035,0,0.0,0.4740841129425987,0,0.0
15.0,1,0.0,0.0,7.432360796132165,0,0.0,0.8126691167665098,0,0.0
20.0,2,2.0,0.10526315789473684,7.216732754225572,1,2.0,0.34474877291514583,1,2.0
25.0,1,0.0,0.0,7.933934528512283,0,0.0,0.73024384630931,0,0.0
30.0,0,0.0,0.0,8.50564712754496,0,0.0,0.6171049511612624,0,0.0
35.0,2,3.0,0.08823529411764706,7.6690714405753715,1,3.0,0.35361238004327294,1,3.0
40.0,3,14.0,0.3888888888888889,7.234303644754868,2,13.0,0.2534865109112676,2,13.0
45.0,7,37.0,0.925,6.563801247715451,4,32.0,0.3326114884382341,4,32.0
50.0,10,75.0,1.7857142857142858,6.127279117326873,4,52.0,0.3392296356447368,4,52.0
55.0,10,117.0,2.5434782608695654,6.476774348291194,4,70.0,0.3534669149888958,4,70.0
60.0,13,162.0,3.306122448979592,6.123388695604745,9,99.0,0.12708254405454747,9,99.0
65.0,17,230.0,4.509803921568627,5.037032732262308,10,145.0,0.1746706497158224,10,145.0
70.0,18,289.0,5.254545454545455,5.136853858675941,12,205.0,0.057498848144571506,12,205.0
75.0,11,140.0,2.413793103448276,5.374211456594365,5,175.0,0.11517009770779432,5,175.0
80.0,14,150.0,2.459016393442623,4.896062804639811,4,120.0,0.16837945764957882,4,120.0
85.0,16,203.0,3.274193548387097,5.169304110235496,7,119.0,0.23008684464839096,7,119.0
90.0,20,287.0,4.348484848484849,5.0067312976023155,8,135.0,0.19454898549135394,8,135.0
95.0,22,355.0,5.298507462686567,5.023429031619519,10,174.0,0.12010388213844325,10,174.0
100.0,24,464.0,6.3561643835616435,4.740546248540541,12,240.0,0.14639056069250173,12,240.0
105.0,26,589.0,7.64935064935065,4.83046195049805,13,302.0,0.18105503574398535,13,302.0
110.0,31,718.0,8.864197530864198,4.098181171874998,13,364.0,0.12014828375320344,13,364.0
