step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.006683386457153,0,0.0,0.30031169533494995,0,0.0
10.0,1,0.0,0.0,6.484203141979495,0,0.0,0.44435256096235265,0,0.0
15.0,1,0.0,0.0,7.6274460290799455,0,0.0,0.8920859360690945,0,0.0
20.0,1,0.0,0.0,7.037300807500609,0,0.0,0.29622097738816416,0,0.0
25.0,3,9.0,0.375,7.377785626337755,2,9.0,0.426846751923598,2,9.0
30.0,4,22.0,0.7857142857142857,7.118612720433295,4,22.0,0.2035434127184064,4,22.0
35.0,8,50.0,1.4705882352941178,5.935020099289945,7,50.0,0.1611074262346201,7,50.0
40.0,11,89.0,2.3421052631578947,6.069534005252942,7,83.0,0.1886256469702234,7,83.0
45.0,10,131.0,3.119047619047619,6.121764017435266,7,118.0,0.12600703775405675,7,118.0
50.0,15,187.0,4.155555555555556,5.6915352345046575,9,158.0,0.15976949461427883,9,158.0
55.0,13,225.0,4.787234042553192,6.254726358253567,11,208.0,0.20801558149874033,11,208.0
60.0,19,302.0,5.921568627450981,4.898603094766677,13,264.0,0.1629836594231798,13,264.0
65.0,22,392.0,7.127272727272727,4.332656134530802,16,348.0,0.08975160662669138,16,348.0
70.0,14,137.0,2.2096774193548385,4.656511259492216,6,248.0,0.1387581943384527,6,248.0
75.0,11,118.0,1.8153846153846154,6.255294420647839,4,115.0,0.24721243698168116,4,115.0
80.0,17,184.0,2.746268656716418,5.467895410532663,7,101.0,0.16430183699124615,7,101.0
85.0,18,187.0,2.791044776119403,6.271624762863415,8,182.0,0.27204818301181977,8,182.0
90.0,19,264.0,3.7714285714285714,5.513366391792865,9,182.0,0.15057584614981037,9,182.0
95.0,23,367.0,5.318840579710145,5.276830469436819,11,239.0,0.17989107050372452,11,239.0
100.0,27,495.0,6.875,4.385980920052624,12,291.0,0.07620742770298258,12,291.0
105.0,27,487.0,6.493333333333333,4.756368659847077,13,351.0,0.06582209525787867,13,351.0
110.0,28,571.0,7.32051282051282,4.2355759310327405,13,418.0,0.09897052113871824,13,418.0
115.0,34,725.0,8.630952380952381,4.301657119641788,13,471.0,0.1750152878522395,13,471.0
