step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.263521966631524,0,0.0,0.31757913655042086,0,0.0
10.0,1,0.0,0.0,6.038957511446785,0,0.0,0.47904708717145833,0,0.0
15.0,1,0.0,0.0,6.991812193285704,0,0.0,0.8153501897906861,0,0.0
20.0,1,0.0,0.0,6.551306050381938,0,0.0,0.237743030258657,0,0.0
25.0,1,0.0,0.0,7.428105223937408,0,0.0,0.7847212897952884,0,0.0
30.0,0,0.0,0.0,8.065112816407437,0,0.0,0.63665546481745,0,0.0
35.0,3,9.0,0.2727272727272727,7.765304429377565,2,6.0,0.40632428674538296,2,6.0
40.0,5,19.0,0.5,7.0605533043696,2,16.0,0.3105257994972336,2,16.0
45.0,9,52.0,1.2682926829268293,6.0932402705987725,4,33.0,0.2911083760196864,4,33.0
50.0,12,99.0,2.2,5.556634807529176,4,53.0,0.30048980828225386,4,53.0
55.0,15,158.0,3.2916666666666665,5.719271330082844,5,75.0,0.21687329028289137,5,75.0
60.0,13,206.0,4.03921568627451,6.123031645244535,7,103.0,0.0705396863820629,7,103.0
65.0,15,246.0,4.6415094339622645,5.656770827893493,8,138.0,0.26870518032959717,8,138.0
70.0,19,250.0,4.464285714285714,5.044334110450025,10,188.0,0.20305924846559237,10,188.0
75.0,17,136.0,2.2295081967213113,4.306810512072839,6,195.0,0.18705568499463604,6,195.0
80.0,14,134.0,2.161290322580645,4.6028688229212555,3,107.0,0.15113323097109158,3,107.0
85.0,16,196.0,3.2666666666666666,5.4069592248196106,6,100.0,0.21818872024086466,6,100.0
90.0,15,190.0,2.878787878787879,5.406719661555547,6,115.0,0.21502560145261201,6,115.0
95.0,18,266.0,3.911764705882353,5.222960709988437,9,143.0,0.18332455086910296,9,143.0
100.0,24,368.0,5.111111111111111,5.279526405766346,13,224.0,0.1672258375118312,13,224.0
105.0,25,485.0,6.554054054054054,5.512327877522091,14,304.0,0.11522583470660992,14,304.0
110.0,29,601.0,7.419753086419753,4.599521627724233,16,368.0,0.0986150009257721,16,368.0
115.0,36,765.0,9.444444444444445,3.6954480858618246,19,456.0,0.12581035747144564,19,456.0
