step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.8382466262578965,0,0.0,0.2726264631327823,0,0.0
10.0,1,0.0,0.0,6.005469582502631,0,0.0,0.4819520507000335,0,0.0
15.0,1,0.0,0.0,6.930168267365181,0,0.0,0.7720345726605862,0,0.0
20.0,2,1.0,0.05263157894736842,6.715725910836475,1,1.0,0.26206694215643567,1,1.0
25.0,3,10.0,0.4166666666666667,7.0991789434557075,2,10.0,0.20701298388283496,2,10.0
30.0,3,21.0,0.75,7.199890878535357,3,21.0,0.30787366312026115,3,21.0
35.0,6,42.0,1.2727272727272727,6.072440718827122,5,42.0,0.23743929464525343,5,42.0
40.0,9,78.0,2.108108108108108,5.733170847987159,7,76.0,0.19454843834138422,7,76.0
45.0,5,15.0,0.35714285714285715,5.812319757210044,1,29.0,0.3756891490580967,1,29.0
50.0,8,39.0,0.8478260869565217,7.51163430527879,0,2.0,0.4320000798529266,0,2.0
55.0,7,74.0,1.5416666666666667,7.116423420229107,1,5.0,0.5513264694042799,1,5.0
60.0,8,88.0,1.76,7.021121844859708,3,12.0,0.27772659317598464,3,12.0
65.0,9,94.0,1.9183673469387754,6.8576521069210346,3,24.0,0.3432127625655511,3,24.0
70.0,12,141.0,2.7115384615384617,5.285053400110443,4,39.0,0.17682028675063163,4,39.0
75.0,16,203.0,3.690909090909091,4.923376357666326,7,71.0,0.19505270333459368,7,71.0
80.0,14,210.0,3.559322033898305,5.106989974316503,3,60.0,0.380877641926032,3,60.0
85.0,16,245.0,4.083333333333333,4.946054427914122,3,69.0,0.2796335894355374,3,69.0
90.0,19,226.0,3.4242424242424243,5.067552082816462,5,89.0,0.22366979471002466,5,89.0
95.0,15,170.0,2.5,4.721911090588826,4,105.0,0.1812377951475729,4,105.0
100.0,18,172.0,2.4571428571428573,4.492865295016246,8,184.0,0.17432470995022442,8,184.0
105.0,25,276.0,3.68,4.697266477812872,12,254.0,0.18186460533369556,12,254.0
110.0,20,286.0,3.6666666666666665,4.582031988228897,4,187.0,0.21645538442261641,4,187.0
115.0,28,298.0,3.5903614457831323,4.290037547474468,6,184.0,0.16787159382669092,6,184.0
120.0,29,425.0,5.120481927710843,5.027054912387124,9,214.0,0.16190120755289475,9,214.0
125.0,30,497.0,5.712643678160919,4.3648806607520125,8,255.0,0.111375725599108,8,255.0
130.0,24,485.0,5.388888888888889,4.9508457365393035,5,275.0,0.24608172089626038,5,275.0
135.0,19,350.0,3.8043478260869565,4.4645710112376245,2,257.0,0.22087876210168816,2,257.0
140.0,24,306.0,3.3260869565217392,4.753829327558619,5,259.0,0.24699086398113249,5,259.0
145.0,25,311.0,3.2061855670103094,4.115077913421598,3,266.0,0.07299676126362799,3,266.0
150.0,38,430.0,4.43298969072165,3.905101674612515,8,277.0,0.17975427926497223,8,277.0
