step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.532147252513095,0,0.0,0.37741808792967435,0,0.0
10.0,1,0.0,0.0,6.148882727893023,0,0.0,0.456048386385453,0,0.0
15.0,1,0.0,0.0,6.973645052810135,0,0.0,0.7561453400796372,0,0.0
20.0,1,0.0,0.0,6.373337909186431,0,0.0,0.24001345452615694,0,0.0
25.0,3,7.0,0.2916666666666667,6.9556702715695335,2,7.0,0.3200342076252324,2,7.0
30.0,2,17.0,0.6071428571428571,7.298763155283895,2,17.0,0.36102537043325655,2,17.0
35.0,3,4.0,0.11764705882352941,6.632865061794997,1,8.0,0.4286692989581284,1,8.0
40.0,7,21.0,0.5384615384615384,6.5692307173489075,1,7.0,0.23510074120873067,1,7.0
45.0,5,29.0,0.6904761904761905,6.989451252819476,0,1.0,0.5673784591695501,0,1.0
50.0,10,60.0,1.3043478260869565,6.895131419062494,1,1.0,0.2606125109221235,1,1.0
55.0,7,80.0,1.6326530612244898,7.098841728162998,0,0.0,0.7214840248117376,0,0.0
60.0,9,111.0,2.3125,6.8280271419973415,3,4.0,0.4713261181179179,3,4.0
65.0,12,107.0,2.0576923076923075,5.9205087348807925,5,21.0,0.2513106672701048,5,21.0
70.0,11,80.0,1.4545454545454546,5.124671880610171,6,42.0,0.08863208029998522,6,42.0
75.0,10,73.0,1.3272727272727274,5.658347484045098,3,46.0,0.3467693465526754,3,46.0
80.0,15,111.0,1.819672131147541,5.126611636849166,5,47.0,0.22432684443760506,5,47.0
85.0,10,133.0,2.180327868852459,5.916690777212391,2,76.0,0.3681184737606798,2,76.0
90.0,16,165.0,2.578125,5.7915751774819455,5,82.0,0.20647295911390187,5,82.0
95.0,14,210.0,3.088235294117647,6.1192352374205505,6,110.0,0.24902332428996135,6,110.0
100.0,15,236.0,3.2777777777777777,5.040003483164578,5,118.0,0.08822697122786875,5,118.0
105.0,15,269.0,3.539473684210526,4.8883700669068375,4,102.0,0.15755445706816543,4,102.0
110.0,22,341.0,4.428571428571429,4.638658108693257,8,114.0,0.08029876083660796,8,114.0
115.0,27,414.0,5.048780487804878,4.650256118643163,8,137.0,0.19239717964073821,8,137.0
120.0,30,513.0,6.035294117647059,4.216930219268926,8,172.0,0.11032029209155234,8,172.0
125.0,29,594.0,6.827586206896552,3.9691023183029595,7,174.0,0.16920565762525447,7,174.0
130.0,35,623.0,6.9222222222222225,3.9185529251791573,13,248.0,0.0949974888286014,13,248.0
