step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.876714123110287,0,0.0,0.2784583401550102,0,0.0
10.0,1,0.0,0.0,6.142817609061025,0,0.0,0.5185046418739202,0,0.0
15.0,1,0.0,0.0,6.950762499552383,0,0.0,0.8228668496455813,0,0.0
20.0,2,1.0,0.05263157894736842,7.02081709785698,1,1.0,0.30008664166272736,1,1.0
25.0,1,0.0,0.0,7.9424502535592945,0,0.0,0.726991527235164,0,0.0
30.0,0,0.0,0.0,8.637773452267673,0,0.0,0.6668271371321791,0,0.0
35.0,3,6.0,0.18181818181818182,7.4591659200007,1,3.0,0.3351038218766969,1,3.0
40.0,3,13.0,0.34210526315789475,7.108459374375606,2,13.0,0.3207667143306308,2,13.0
45.0,7,37.0,0.925,6.8695341707541,4,30.0,0.3567628270550147,4,30.0
50.0,11,72.0,1.6744186046511629,6.2029894012103695,4,50.0,0.20659907679580328,4,50.0
55.0,11,121.0,2.688888888888889,5.86519051305884,4,70.0,0.29254074571327804,4,70.0
60.0,13,168.0,3.574468085106383,6.046168126557952,8,96.0,0.1509466791162419,8,96.0
65.0,17,235.0,4.607843137254902,5.422266452416172,10,136.0,0.11054392456861956,10,136.0
70.0,21,284.0,5.2592592592592595,4.42764765105534,13,193.0,0.1001892165149557,13,193.0
75.0,12,136.0,2.3448275862068964,5.056825164383965,7,175.0,0.15274069557280315,7,175.0
80.0,12,148.0,2.4262295081967213,5.1162151529365785,5,135.0,0.25711665531995076,5,135.0
85.0,15,213.0,3.4918032786885247,5.813746979392986,7,113.0,0.24946500900627258,7,113.0
90.0,21,294.0,4.454545454545454,4.743419293073822,10,140.0,0.10951931675845795,10,140.0
95.0,22,396.0,5.739130434782608,5.237822290652705,11,190.0,0.23379745526279327,11,190.0
100.0,27,513.0,7.125,4.6068649744210335,13,258.0,0.09123180454722032,13,258.0
105.0,31,650.0,8.552631578947368,4.731218075968472,17,340.0,0.18782523768370793,17,340.0
