step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.49314835566096,0,0.0,0.2611121999131787,0,0.0
10.0,1,0.0,0.0,6.19450799076072,0,0.0,0.5233684073167763,0,0.0
15.0,1,0.0,0.0,7.02481964184865,0,0.0,0.7799747596166134,0,0.0
20.0,1,0.0,0.0,7.011569422154572,0,0.0,0.27401537092595174,0,0.0
25.0,3,9.0,0.375,7.079452475652002,2,9.0,0.31842892517631605,2,9.0
30.0,3,21.0,0.75,7.208814519528659,3,21.0,0.33777012491904795,3,21.0
35.0,5,41.0,1.28125,6.91165902109733,4,41.0,0.27481119415129407,4,41.0
40.0,9,74.0,2.0,5.799311739400473,7,68.0,0.2104298122521447,7,68.0
45.0,11,118.0,2.8780487804878048,5.848825429579563,8,104.0,0.20380913153657013,8,104.0
50.0,15,165.0,3.75,5.335394339590183,10,147.0,0.11625884994078747,10,147.0
55.0,14,210.0,4.375,5.73720638004342,12,204.0,0.1835679024129181,12,204.0
60.0,18,285.0,5.480769230769231,5.191319469306789,14,266.0,0.03944043588303226,14,266.0
65.0,21,377.0,6.8545454545454545,4.589623146413388,16,351.0,0.1156268444828228,16,351.0
70.0,14,127.0,2.152542372881356,4.816654423033846,7,264.0,0.17816233434083462,7,264.0
75.0,11,80.0,1.2698412698412698,5.95208048134511,4,128.0,0.19406603100958145,4,128.0
80.0,14,141.0,2.1363636363636362,6.015532325790488,6,107.0,0.19613269439335587,6,107.0
85.0,20,231.0,3.5,5.9716694280333185,8,142.0,0.19056516552261557,8,142.0
90.0,22,330.0,4.925373134328358,5.657826839185812,8,182.0,0.24398224615386843,8,182.0
95.0,25,444.0,6.3428571428571425,4.993242793939428,10,234.0,0.27607836531025953,10,234.0
100.0,30,573.0,7.8493150684931505,4.493985189096381,11,281.0,0.0010321291117989745,11,281.0
105.0,30,640.0,8.421052631578947,4.432205285782518,13,341.0,0.06604371799069247,13,341.0
110.0,31,777.0,9.961538461538462,4.46511386578022,13,421.0,0.17058448480828253,13,421.0
