step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.754702203427441,0,0.0,0.3466874499334322,0,0.0
10.0,1,0.0,0.0,6.730152760414296,0,0.0,0.32645031876319175,0,0.0
15.0,1,0.0,0.0,7.5918899081338,0,0.0,0.8475549027870075,0,0.0
20.0,2,1.0,0.05263157894736842,6.5954585980603575,1,1.0,0.16910083024163697,1,1.0
25.0,1,0.0,0.0,7.630653787593164,0,0.0,0.7233951052421264,0,0.0
30.0,0,0.0,0.0,8.275336867761078,0,0.0,0.520191290871965,0,0.0
35.0,2,5.0,0.15625,7.835568731526431,2,5.0,0.4326394396510069,2,5.0
40.0,4,20.0,0.5405405405405406,6.968082074195584,2,15.0,0.2720366042190226,2,15.0
45.0,6,33.0,0.825,6.455114921235095,4,32.0,0.31442049706002173,4,32.0
50.0,8,55.0,1.2790697674418605,6.331247245579234,4,52.0,0.19809259427019346,4,52.0
55.0,12,105.0,2.282608695652174,6.153756284814565,4,72.0,0.3932843995087612,4,72.0
60.0,14,145.0,2.9591836734693877,5.849137578047973,8,96.0,0.15745116672477036,8,96.0
65.0,18,214.0,4.196078431372549,4.974832621915441,10,140.0,0.1492172414352789,10,140.0
70.0,14,228.0,4.1454545454545455,5.093526025593821,10,183.0,0.026148131298988853,10,183.0
75.0,15,299.0,5.245614035087719,5.698329958852583,11,233.0,0.16849200503513687,11,233.0
80.0,16,172.0,2.7301587301587302,5.419904030006332,8,219.0,0.19086445018559917,8,219.0
85.0,14,154.0,2.4838709677419355,5.379738186620454,5,144.0,0.18789995888986988,5,144.0
90.0,16,212.0,3.3125,5.464118230142942,7,120.0,0.20732858188259165,7,120.0
95.0,18,292.0,4.231884057971015,4.837915696664182,8,135.0,0.17399377899349802,8,135.0
100.0,26,399.0,5.619718309859155,4.282333662666616,12,173.0,0.09975271804397622,12,173.0
105.0,26,365.0,4.802631578947368,4.883868018069012,15,225.0,0.11287042282937858,15,225.0
110.0,29,454.0,5.675,4.622680640272095,18,305.0,0.07686292295267128,18,305.0
115.0,35,607.0,7.141176470588236,4.635361630783752,19,393.0,0.16725542547980382,19,393.0
