step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.0790199000947185,0,0.0,0.34958545411039244,0,0.0
10.0,1,0.0,0.0,6.238262337005726,0,0.0,0.5221574476983546,0,0.0
15.0,1,0.0,0.0,6.702903765672526,0,0.0,0.7456091015724368,0,0.0
20.0,2,1.0,0.05263157894736842,6.832940061668346,1,1.0,0.33601605044962946,1,1.0
25.0,3,8.0,0.3333333333333333,6.647933555322207,2,8.0,0.16272724088554755,2,8.0
30.0,0,0.0,0.0,7.916042578626907,0,0.0,0.5453637898991942,0,0.0
35.0,3,5.0,0.15151515151515152,7.736746600182193,1,3.0,0.3761713524715618,1,3.0
40.0,2,2.0,0.05405405405405406,7.155946120963979,0,2.0,0.45762524529276655,0,2.0
45.0,5,17.0,0.4146341463414634,7.35820876251442,0,0.0,0.5511362131762532,0,0.0
50.0,6,35.0,0.7954545454545454,7.28842604816084,0,0.0,0.7121483699755364,0,0.0
55.0,9,75.0,1.5957446808510638,6.694191596134592,0,0.0,0.6603658913525629,0,0.0
60.0,7,86.0,1.72,6.620714037350576,2,1.0,0.2771680702943548,2,1.0
65.0,8,114.0,2.28,6.883861724682962,1,6.0,0.528895827555692,1,6.0
70.0,8,114.0,2.1923076923076925,6.624756763218129,0,9.0,0.5085029377663592,0,9.0
75.0,11,56.0,1.018181818181818,5.0458474940933975,2,14.0,0.21708225511232243,2,14.0
80.0,11,79.0,1.3620689655172413,5.420292131972947,2,18.0,0.27826131527041587,2,18.0
85.0,16,126.0,2.210526315789474,5.468015034547434,4,34.0,0.41632741331371353,4,34.0
90.0,16,128.0,2.064516129032258,5.646103666231038,3,35.0,0.32948438615752623,3,35.0
95.0,14,140.0,2.1875,5.7236028332054385,3,41.0,0.3002544970048897,3,41.0
100.0,15,177.0,2.6029411764705883,5.169591228225218,4,63.0,0.18813449922850745,4,63.0
105.0,18,245.0,3.5,4.721124290583954,6,119.0,0.1536034240439775,6,119.0
110.0,17,293.0,3.8552631578947367,4.762888921900723,4,86.0,0.21055732478587133,4,86.0
115.0,26,381.0,4.703703703703703,4.552380431734903,7,64.0,0.22589734960258148,7,64.0
120.0,32,514.0,6.345679012345679,4.4042026178820555,12,112.0,0.10652350857125062,12,112.0
