step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.105209050136618,0,0.0,0.3197839230358914,0,0.0
10.0,1,0.0,0.0,6.096830134175703,0,0.0,0.5092967395087521,0,0.0
15.0,2,1.0,0.07142857142857142,6.337698397266462,1,1.0,0.4695120581213316,1,1.0
20.0,2,6.0,0.3157894736842105,6.860032060781827,1,6.0,0.3669360290185758,1,6.0
25.0,2,11.0,0.5,8.051733575397707,1,11.0,0.5878673298232603,1,11.0
30.0,1,2.0,0.07142857142857142,7.370393288436373,1,2.0,0.34557683051030025,1,2.0
35.0,4,14.0,0.42424242424242425,7.527069901199488,3,14.0,0.3835183799392799,3,14.0
40.0,6,35.0,0.9722222222222222,6.67533048146325,4,32.0,0.2474516071654022,4,32.0
45.0,9,73.0,1.8717948717948718,6.103860377063826,5,56.0,0.2455115378856113,5,56.0
50.0,11,112.0,2.604651162790698,5.365584889224268,6,85.0,0.07145278006659063,6,85.0
55.0,14,172.0,3.6595744680851063,5.465212670508597,9,135.0,0.18745938346635352,9,135.0
60.0,16,241.0,4.7254901960784315,5.9478208837405235,12,184.0,0.20793360735573235,12,184.0
65.0,18,320.0,6.037735849056604,4.826331494105356,12,243.0,0.12409995418417596,12,243.0
70.0,24,424.0,7.310344827586207,4.4036694431808945,16,314.0,0.04691842564462464,16,314.0
75.0,27,537.0,8.80327868852459,4.271415000004099,17,397.0,0.126403496289891,17,397.0
80.0,29,652.0,9.878787878787879,4.31696303624254,18,484.0,0.048874365227485096,18,484.0
85.0,19,337.0,4.884057971014493,4.827422467062832,8,368.0,0.15688569271979758,8,368.0
90.0,9,184.0,2.5555555555555554,6.0744088748578,1,219.0,0.23616806524505587,1,219.0
95.0,14,68.0,0.9444444444444444,5.7753102775789955,7,202.0,0.17033677538950046,7,202.0
100.0,16,134.0,1.763157894736842,5.117568213440298,7,246.0,0.18169390128099094,7,246.0
105.0,20,221.0,2.8701298701298703,5.593521807056028,9,244.0,0.22997350075479372,9,244.0
110.0,24,303.0,3.7875,4.841605160226103,12,269.0,0.16894554829046318,12,269.0
115.0,28,385.0,4.529411764705882,4.951910254627978,13,329.0,0.2131802852895395,13,329.0
120.0,28,506.0,5.816091954022989,4.460762282431597,12,388.0,0.16718139594002823,12,388.0
125.0,34,652.0,7.086956521739131,4.000084483588375,14,482.0,0.04274906464489274,14,482.0
