step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.916070463730582,0,0.0,0.39795711802674055,0,0.0
10.0,1,0.0,0.0,6.422038185575036,0,0.0,0.3985460807237599,0,0.0
15.0,1,0.0,0.0,7.098941089444516,0,0.0,0.770645152988557,0,0.0
20.0,2,1.0,0.05263157894736842,7.042502120803787,1,1.0,0.24397635872594492,1,1.0
25.0,3,9.0,0.375,6.947684898329047,2,9.0,0.4409737931339597,2,9.0
30.0,4,23.0,0.8214285714285714,6.667512827413003,4,23.0,0.17961415830468314,4,23.0
35.0,0,0.0,0.0,7.153968533306029,0,12.0,0.40623527587442787,0,12.0
40.0,4,7.0,0.18421052631578946,6.718913557012775,1,2.0,0.41672427405837337,1,2.0
45.0,5,10.0,0.23809523809523808,7.205748107517161,1,3.0,0.36082633652339646,1,3.0
50.0,11,37.0,0.8043478260869565,6.617032091310066,3,7.0,0.22914002754640883,3,7.0
55.0,6,49.0,1.0425531914893618,6.516114018495942,0,6.0,0.6044789848179184,0,6.0
60.0,8,66.0,1.375,6.271360339400494,3,7.0,0.16784158611600106,3,7.0
65.0,8,83.0,1.6938775510204083,6.551153322541529,3,13.0,0.44758742186695044,3,13.0
70.0,10,83.0,1.509090909090909,5.961356239610939,3,27.0,0.3371496338367295,3,27.0
75.0,11,108.0,1.894736842105263,5.839046910390055,4,45.0,0.27702045627999766,4,45.0
80.0,16,170.0,2.8813559322033897,5.397312358305833,6,47.0,0.22659552538537958,6,47.0
85.0,19,248.0,4.065573770491803,5.065371260810102,8,85.0,0.11852890681139727,8,85.0
90.0,13,88.0,1.3968253968253967,5.512411614267116,9,127.0,0.1573622716689966,9,127.0
95.0,10,62.0,0.9538461538461539,5.639438866215363,5,169.0,0.2182592572153653,5,169.0
100.0,17,100.0,1.4492753623188406,5.180488127785446,6,163.0,0.14625321219306842,6,163.0
105.0,21,122.0,1.6486486486486487,4.99218164383345,11,183.0,0.1194975728587806,11,183.0
110.0,24,184.0,2.358974358974359,4.9086019233521645,7,168.0,0.23814091062475676,7,168.0
115.0,21,226.0,2.7560975609756095,4.841173565489672,5,153.0,0.2782921056514335,5,153.0
120.0,25,257.0,3.1341463414634148,4.759160878208563,6,190.0,0.18974582370654272,6,190.0
125.0,27,292.0,3.395348837209302,4.147006010116955,13,286.0,0.1020078950601773,13,286.0
130.0,39,461.0,5.179775280898877,4.16626373113905,15,317.0,0.10728003300574873,15,317.0
