step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_9288532822_9288532834_9288532844_9288532861_#1more_stopped,cluster_9288532822_9288532834_9288532844_9288532861_#1more_accumulated_waiting_time,cluster_9288532822_9288532834_9288532844_9288532861_#1more_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.3489662504429,0,0.0,0.254231944387647,0,0.0
10.0,1,0.0,0.0,5.9632988506742866,0,0.0,0.6558848273402885,0,0.0
15.0,1,0.0,0.0,6.498089424278845,0,0.0,0.6908229161355268,0,0.0
20.0,1,0.0,0.0,7.215579290581093,0,0.0,0.33186543981429173,0,0.0
25.0,3,6.0,0.25,6.9633138537776125,2,6.0,0.2803012510605924,2,6.0
30.0,3,18.0,0.6428571428571429,7.234360708236601,3,18.0,0.3681416665284869,3,18.0
35.0,6,39.0,1.21875,6.261741698452698,5,39.0,0.2497019055748593,5,39.0
40.0,4,8.0,0.21621621621621623,5.841211750263184,1,23.0,0.2464647939434004,1,23.0
45.0,6,34.0,0.8292682926829268,6.98820260741521,2,9.0,0.37351318732878364,2,9.0
50.0,8,68.0,1.511111111111111,6.657913566880855,2,19.0,0.21991585608694134,2,19.0
55.0,9,110.0,2.391304347826087,7.027317677501424,3,33.0,0.48643938749513527,3,33.0
60.0,9,99.0,2.020408163265306,6.965580680649145,4,45.0,0.3041753321988128,4,45.0
65.0,9,83.0,1.5961538461538463,5.9511416786845635,3,22.0,0.30311712955382447,3,22.0
70.0,6,13.0,0.22807017543859648,6.384174638690412,2,18.0,0.2834716607721989,2,18.0
75.0,11,27.0,0.4576271186440678,6.151457876789808,6,35.0,0.20419946054662855,6,35.0
80.0,9,40.0,0.6451612903225806,5.010925607491736,1,41.0,0.16686500585626984,1,41.0
85.0,13,83.0,1.3833333333333333,5.2442266447554085,5,87.0,0.2673362759388885,5,87.0
90.0,16,120.0,1.8461538461538463,4.8787262745597175,6,91.0,0.27367105824141896,6,91.0
95.0,17,148.0,2.242424242424242,4.813130175334395,6,108.0,0.171688074463871,6,108.0
100.0,19,176.0,2.4444444444444446,4.458707083986628,7,135.0,0.1298369729107767,7,135.0
105.0,15,180.0,2.4324324324324325,4.738331456894229,4,155.0,0.17913118270100548,4,155.0
110.0,16,188.0,2.41025641025641,4.702567077592271,6,157.0,0.17320462798054448,6,157.0
115.0,26,253.0,3.011904761904762,4.563352987431962,9,184.0,0.25521924733441365,9,184.0
120.0,28,364.0,4.2823529411764705,4.6057495157930886,11,231.0,0.10516257271741894,11,231.0
125.0,29,458.0,5.088888888888889,4.291019357426156,13,335.0,0.12070941226228943,13,335.0
130.0,32,482.0,5.239130434782608,4.453344200505705,10,349.0,0.19067775913454818,10,349.0
